index,term,polarity,termFrom,termTo,context
99,windows 7,1,25,34,"vista sold more pcs than windows 7 did : ironically , it was the computer manufacturers who did best in feb . 2007 . ."
100,madonna,0,7,14,Sister madonna Buder made the time cut on the swim ironman . She 's 79 yo & on the bike-she 's finished 36 roman events .
101,google wave,2,11,22,thanks for google wave jillglavan . i am successfully as confused as you .
102,britney spears,1,67,81,"we don do the soulja boy 's and crime mobs , we do the j-lo 's and britney spears"
103,ipod,1,112,116,lol . nahh . if that 's the case then it 's a lousy application . it would n't even let me log in and hanged my ipod sia . t_t
104,steve jobs,0,39,49,There 's also the theory that the real steve jobs is actually the turtleneck he wears . The body is a decoy . runita
105,justin bieber,2,7,20,Demand justin bieber in Lisbon at Eventful - .
106,lindsay lohan,1,30,43,i have my doubts that that 's lindsay lohan ...
107,micheal jackson,2,5,20,im a micheal jackson lover hah . xD -LRB- via ASiAbAbbi -RRB- < ~ mee too adorebrittanyox Meee Three ! Have you guys saw My wallpaper : -RRB-
108,hillary clinton,1,18,33,A warm welcome to hillary clinton ! Max
109,kindle,1,27,33,me too . maggiedana yankee kindle ? mariblaser as soon as they come out with that kindle that smells like a book ! they got me ! writechat
110,lindsay lohan,0,44,57,mlbpulse angels errors more contagious than lindsay lohan genital warts at promises .
111,tiger woods,2,86,97,misskish0h9 BarOfTheDay : my motto get money that 's it/mastering the green game like tiger woods an ...
112,jimmy carter,1,39,51,"on this day in 2002 , former president jimmy carter won the nobel peace prize . history"
113,harry potter,1,107,119,"In the time Ive spent waiting for a special someone to do their blackhair , I could 've translated all the harry potter books into Latin ."
114,lakers,0,9,15,Fuck the lakers LOL . . Teamceltics
115,britney spears,2,57,71,downloaded it . like it ! 4 record did n't like amy song britney spears & risque 3 ; to debut atop hot 100
116,steve jobs,1,12,22,Kids admire steve jobs more than Oprah and the Olsen twins Ask your kids who they look up to kids apple
117,kim kardashian,0,57,71,RT : DaKiDJAY17 '' FuckYeahAwny hahaha NEVER ! Mine like kim kardashian ... yours like Khloe ... O '' damn i don even wan na play anymore :-LRB- ha
118,charlie sheen,2,41,54,Extremely random snow day . Win . Thanks charlie sheen !
119,sarah palin,1,39,50,so dumb I had to RT it : box Signed by sarah palin Will Set You Back $ 1.1 Million -LRB- Plus Shipping -RRB- -
120,lady gaga,1,18,27,'' WeezyDaGreat : lady gaga concert tonight anybody ??? '' < -- your going ? Lol
121,obama,0,89,94,So its okay 4 George Bush to do what evah he wants & asking questions is unpatriotic-but obama is supposed 2 state every move in advance-libya
122,ms dhoni,2,0,8,"ms dhoni has emerged as my hero ! Honest , confident and to top it all totally humble . Kudos !"
123,lindsay lohan,1,27,40,hi ! i think you look like lindsay lohan ...
124,kindle,0,91,97,did n't want to get wet so i read all the newspapers on my laptop this morning . shame the kindle is disappointing .
125,lady gaga,2,21,30,"hambling242 you love lady gaga , well I was going to follow you ."
126,kindle,1,33,39,"i know it 's anecdotal , but the kindle application , stanza and classics are some of the most popular apps i see"
127,micheal jackson,1,115,130,trying on '' dress clothes '' for work ughhh booty n thighs hatin man aint shit open ! Grrrr now I 'm mad real mad micheal jackson
128,alicia keys,0,70,81,okay i will be a little more reasonable ... Comparing Keyshia Cole to alicia keys is like comparing Lloyd to Chris Brown
129,hillary clinton,1,50,65,- I saw FSM Pres Mori on 10/1 . He 'd met w/Sec . hillary clinton who said US willing to expand USAID & Peace Corps in Pacific Islands .
130,alicia keys,0,69,80,"'' They did n't know how I feel inside , through my smile I cry '' - alicia keys '' Caged Bird ''"
131,google,2,7,13,I love google ! as a whole with all its services
132,harry potter,1,71,83,love watching the Cowboys play especially when they WIN . Now watching harry potter . ...
133,alicia keys,1,0,11,alicia keys '' That 's how strong my love is '' just made me tear up a little bit .
134,bill gates,0,127,137,i wonder what the freak is wrong with the zune software like seriously they need to get this stuff straightened out . damn you bill gates !
135,miley cyrus,2,86,97,selena gomez stoptheselenahate :-RRB- because I 'm a selenator and I ADORE Justin and miley cyrus : L ! so STOP THE HATE
136,lindsay lohan,1,0,13,lindsay lohan -- late for a very important date ! -
137,britney spears,1,27,41,"mm lady gag - starstruck , britney spears - radar , madonna - celebration rihanna - te amo shakira - did it again pixie lott - mama do"
138,ipad,0,56,60,Yumagk21_1 Apple Survey - Are Apple products any good ? ipad sucks ? apple .
139,wii,2,28,31,im totally on twitter on my wii right now ... im super cool :3
140,lindsay lohan,1,0,13,"lindsay lohan ' s love shot down ! : e ! online but where there 's a broken heart , there 's a twitter acco . ."
141,sarah palin,1,80,91,"Oh , please do n't change - it 's as good as the '' whips-n-chains , '' tatooed sarah palin avatar pimped at the other end of the spectrum"
142,lindsay lohan,0,29,42,she means that our face like lindsay lohan : ha what is she mean by judge us as a mean girl ?
143,harry potter,2,21,33,Finished reading all harry potter books ! They were even more awesome then the movies ! : D
144,ipad,1,55,59,It 's official . FedEx arrived and I now have 128GB of ipad . Now to fix that and turn Lovely Wife 's frown into a smile . fb
145,barack obama,1,61,73,"Focus on al-Qaeda , not Taliban : An official says President barack obama is prepared to accept some Taliban invo . ."
146,barack obama,0,73,85,William Bradley : Obama 's Biggest Problems Still Lie Abroad : President barack obama has no shortage of nasty cri ... .
147,lady gaga,2,33,42,gagafanforever8 ahh ... you love lady gaga
148,wii,1,23,26,should twitter be like wii and have a time out window pop up that tells you to go outside and stretch your legs ?
149,ipod,1,16,20,is this for the ipod touch or phone . dino i have a friend with a phone that thimks jailbreaking is illegal .
150,nicolas cage,0,39,51,words ca n't express how much i loathe nicolas cage .
151,jimmy fallon,2,80,92,"lol forever . You guys put on a great show ! Stephen Colbert sang ' Friday ' on jimmy fallon . They raised $ 86,000 for Donors Choose . awesome"
152,xbox,1,0,4,xbox live : chaos mastermx is currently online . playing halo waypoint . watching videos . -LRB- xbox live nation -RRB-
153,google,1,115,121,"hoosierbeergeek england - staying in Brighton on the sea front -LRB- beach -RRB- , my office is in burgis hill ... google it , its pretty awesome"
154,lindsay lohan,0,24,37,is an indian version of lindsay lohan . in the worse way . suck it samronson
155,xbox,1,42,46,how do you like settlers of catan for the xbox ?
156,jimmy fallon,0,4,16,and jimmy fallon and taylor hicks lmao
157,windows 7,2,27,36,"yeah this is true , i like windows 7 ... i just hate microsoft 's marketing department ... ; -RRB-"
158,tiger woods,1,0,11,tiger woods follow through in 18th fairway looked like Larry Bird 's last shot in 1988 3-point contest . Replay after replay . golf
159,harry potter,1,92,104,"Dame Maggie ' too frightened ' of stage after cancer battle , will ' stagger through ' last harry potter films ."
160,hilary swank,0,0,12,hilary swank : i let boyfriend 's son see me nude : but her revelation that she goes nude in real life -- in fro . .
161,jimmy fallon,2,26,38,"Awesome ! KenTremendous : jimmy fallon is doing the coolest . show in late night , and here 's proof : . . '' this is f ** king great"
162,windows 7,1,51,60,are you bothered by the lack of a proper menu with windows 7 ? here 's the solution .
163,britney spears,1,103,117,"was floored by the pilot on food stamps in the michael moore movie . sully should make more money than britney spears , right ?"
164,sarah palin,0,22,33,My right boob is like sarah palin ; always going rogue .
165,taylorswift,2,20,31,oh justinbieber and taylorswift are in the same country ?? : o that 's amazing ! I wish I were british ... ha
166,kindle,1,35,41,would you still like to borrow the kindle ?
167,google wave,1,23,34,i 've been surfing the google wave lately . i had high hopes but they have been dashed . perhaps it will redeem itself . googlewave
168,hillary clinton,0,40,55,holy shit ! i would fucking kill to see hillary clinton ...
169,wii,2,22,25,good list ! i love my wii fit : -RRB-
170,lady gaga,1,38,47,I love nikki Minaj ! She 's the black lady gaga but even better !!! I love you girrrlll
171,harry potter,1,128,140,Where the hell did the Opinions section of my Voice issue go ? All I want to do is read witty articles and something to do with harry potter .
172,britney,2,13,20,"nowlistening britney , Rihanna , JLo feat Pitbull - Against the floor ... Love the vibe of this song ... . ''"
173,harry potter,1,43,55,Something I came across reading strobist . harry potter like motion images . Check it out . Very cool :
174,lady gaga,0,16,25,"i hate the lame lady gaga quizes on facebook . they are all the same . if i make one , that is really hard , will y' all take it ?"
175,britney spears,2,41,55,my sister does n't believe i just kissed britney spears excellent :--RRB- will you ?
176,iphone,1,15,21,ha . . fucking iphone always corrects the wrong fucking words
177,britney spears,1,116,130,"musicmonday my own way - honor society , everything youre not - demi lovato , tiffany blews - fall out boy , blur - britney spears : -RRB-"
178,lakers,0,8,14,fucking lakers only have black people playing on their team !! black people are good at basketball !! no wonder they are winning ! LETS GO KINGS
179,charlie sheen,2,46,59,Mfers still riding on Chris Brown but glorify charlie sheen . shrugs One is early 20s other almost 50 .
180,kindle,1,31,37,"and they 're coming out with a kindle reader for the pc , so you 'll be able to read your tech books on your computer . and search ."
181,windows 7,1,23,32,the upgrade version of windows 7 lets one move from any properly licensed version of windows experience or vista to windows 7 on that same computer
182,lindsay lohan,0,43,56,the top 5 stars in need of help ... asap : lindsay lohan tops list of stars in danger of self-imploding .
183,selena gomez,2,27,39,I liked a YouTube video -- selena gomez & The Scene - Who Says .
184,harry potter,1,21,33,just watched the 1st harry potter movie ... i love mini ron & harry ' - '
185,britney spears,1,0,14,britney spears funny pictures . . -
186,sarah palin,1,84,95,'' Obama deserves the Nobel prize for the simple reason that if it were n't for him sarah palin would be in the White House . ''
187,taylor swift,2,17,29,Woo 3 days until taylor swift !! I am so excited : D
188,lindsay lohan,1,38,51,lindsay wants dad restraining order : lindsay lohan wants a restraining order against her father .
189,ipod,1,56,60,"; '' got me singing like na na na na e'er day , like my ipod ' is stuck on replay . '' cute cute cute . band later . text ? 5133355871"
190,lindsay lohan,0,97,110,bad place to lose a contact lens . this alley behind the liquor store looks like the contents of lindsay lohan ' s stomach .
191,lindsay lohan,2,34,47,"all of them are ... marc jacobs , lindsay lohan , kate mossb . but we love ' them ! i die !"
192,maradona,1,0,8,"maradona under pressure -LRB- source : BBC -RRB- : As Argentina struggle to reach the World Cup , can Diego maradona inspire . ."
193,google wave,1,34,45,hey booboo baybay ! do you have a google wave invite by any chance ?! hahah my friend really wants one !!
194,britney spears,0,31,45,"someone must hellaaaaaaaa hate britney spears with all those fake twitter accounts ! very known on twitter ... for that , smh stooopid !"
195,khloe kardashian,2,16,32,"I used to think khloe kardashian was n't that pretty , but she is actually really pretty ."
196,lindsay lohan,1,92,105,lay on my head . . fuck my father . i even don know you . confession of the broken heart by lindsay lohan represent what i felt . do you ever loved me ?
197,iphone,1,0,6,iphone under attack from android invasion - pc world
198,lakers,0,18,24,Fuck Kobe And The lakers .
199,harry potter,2,7,19,i love harry potter and the deathly hallows
200,steve jobs,1,45,55,"Just talked to someone at adobe , they blame steve jobs for no flash . adobemax"
201,ipod,1,109,113,am not sure if trey songz video is going to make it to television . . like wow ! -LRB- it will make it to my ipod though lol -RRB-
202,xbox,0,44,48,"the point is to be home and just relax/play xbox , dude . school sucks and the people there suck aswell"
203,windows 7,2,0,9,windows 7 is the best marketing campaign that apple has ever come up with .
204,xbox,1,113,117,joke : question : what did the chiefs ' fan do after kansas city won the super bowl ? answer : he turned off the xbox .
205,sarah palin,0,23,34,"Levi Johnston , dad to sarah palin ' s grandson , to pose in ' Playgirl ' . Glenn Beck vows to cancel his subscription . by markmorford"
206,ashley tisdale,2,22,36,"Lol at people who say ashley tisdale ca n't sing . Listen to Unlove You and Suddenly , then maybe next time you 'll think before you speak . ; -RRB-"
207,nicolas cage,1,30,42,could this possibly be a good nicolas cage film ?
208,jimmy carter,0,34,46,obama has achieved even less than jimmy carter at this stage in his presidency . . even though i ca n't remember what jimmy did
209,wii,1,28,31,babysit a lot ! ha ! i like wii but i 'm kinda glad we do n't have one !
210,russell brand,1,0,13,"russell brand Swaps His ' Tools ' For Gardening Tools : Well , we 've got ta hand it to Katy Perry . The popstar has we ... ."
211,lady gaga,0,0,9,"lady gaga Apologizes For ' Retarded ' Slur , Approves Weird Al Parody : lady gaga performs her Monster 's Ball tour a ... ."
212,barack obama,2,26,38,"Well , I 'm very proud of barack obama for winning the Nobel Peace Prize ."
213,xbox,1,66,70,"by magic . i 'll burn them to dvd for you , they 'll work on your xbox and computer , and if your dvd player is super special"
214,justin timberlake,1,9,26,"Watching justin timberlake 's music video for cry me a river , and all I can think is '' who in their right mind would cheat on jt ? '' ... smh ."
215,anderson cooper,0,69,84,"There 's only one thing all these wars and tragedies havein common : anderson cooper . He 's always there first ! Katrina , before the copters !"
216,wii,2,48,51,"i wonder how many straight dudes do yoga on the wii fit ? because im not gon na lie , im pretty awesome now . . in other news i only weigh 150 pounds ."
217,ipod,1,15,19,sorting out my ipod for the long bus ride to mancville . got ta get some banging choons on there ! i love long bus journeys !!!!
218,windows 7,1,55,64,"i can get ubuntu 9.10 for free , and it 's better than windows 7 anyway !"
219,lady gaga,2,38,47,wait is nikki minaj trying to be like lady gaga . . if so then is sucks at it . . GAGA is the BEST : D
220,micheal jackson,1,29,44,"she got that good good , she micheal jackson bad !! < = I like !"
221,madonna,0,58,65,"I love this : on Huffington Post , Guy Richie quoted : '' madonna is retarded . '' Now THIS cracks me up ."
222,lady gaga,2,28,37,I upload a YouTube video -- lady gaga Bad Romance 2ndSource MoL .
223,madonna,1,15,22,Madge 's row : madonna falls out with toyboy lover Jesus Luz over her marriage stance It seems Jesus Luz was n't i . .
224,madonna,1,31,38,we all miss you sweetie . tell madonna to come back soon :-RRB- -RRB- -RRB- -RRB- -RRB- kisses and lots of love from portugal
225,obama,0,138,143,"I grew up as a Democrat . Thank God ! , I learned what was real . Do n't think I am completely biased . There are some good dem , but not obama ."
226,shakira,2,55,62,"snedbrook asked : Listening to Esta Es Africa , I love shakira In Spanish . ha . ."
227,ipod,1,51,55,"i want to get a mp3 player for chelsea . we had an ipod , but she had some difficulty figuring out how to use it . thinking about ..."
228,nicolas cage,1,73,85,so this is what happens when you let yourself be dead in every film . '' nicolas cage millions in debt '' :
229,google,0,86,92,How UGLY remote controller ... Just amazing how they really think UI ... Quick Tour - google television .
230,jimmy carter,2,14,26,feels bad for jimmy carter who actually deserved the peace prize ; what a shame to cheapen the honor . tcot
231,xbox,1,0,4,xbox live : oabgo i7vo good is currently offline . last seen 1 hour ago playing xbox 360 dashboard -LRB- xbox live nation -RRB-
232,wii,1,27,30,technology news : nintendo wii 2 with full-hd video - in 2010 : resource maxconsole released fresh details about . .
233,justin bieber,2,66,79,i hope i 'm 20 years old now ! SO My parents will let me to watch justin bieber concert
234,lindsay lohan,1,100,113,'' redskins are first in history to play six straight winless teams . if it was any easier it 'd be lindsay lohan . ''
235,hillary clinton,1,9,24,LONDON - hillary clinton said the international community would not wait indefinitely for Iran
236,lindsay lohan,0,21,34,then ill end up like lindsay lohan lol
237,britney spears,2,33,47,"just bought my all-time favorite britney spears song , '' lucky '' on itunes since i 'm too lazy to look for the cd i know i have somewhere . ."
238,windows 7,1,20,29,week in microsoft : windows 7 sp1 and windows live 4.0 rumors -LRB- ars technica -RRB- : let 's look back at the week that w . .
239,lakers,1,36,42,DevinEbanks3 is having a great game lakers vs . kings
240,britney spears,2,56,70,"jailbait beat lady gag , miley cyrus , taylor swift and britney spears 4 best international pop artist 2009 los premios mtv latin america awards !"
241,obama,1,0,5,obama is keeping his peace prize .
242,lindsay lohan,1,19,32,emanuel ungaro and lindsay lohan : cut from the same cloth ? -LRB- women 's wear daily -RRB- - x.fr / ny9
243,shakira,0,50,57,'' she 's yodeling like she thinks she 's goddamn shakira or goddamn jewel . ''
244,selena gomez,2,0,12,selena gomez = Singer ✔ Funny ✔ Actress ✔ Outgoing ✔ Beautiful ✔ Smart ✔ Laugh ✔ Smile ✔ Style ✔ Love towards her fans ✔ Fans love her ✔
245,wii,1,74,77,my plan on watching videos of the new super mario brothers . game for the wii has been spoiled by grad students with scholarship questions .
246,ipod,1,64,68,already have an 8gb in the 9000 but it is easier to plug in the ipod to my car .
247,john mccain,0,0,11,john mccain AND JOE LIEBERMAN AND GRAHNESTY are all FAKE REPUBLICAN/CONSERVATIVES . They are as PROGRESSIVE LEFT as they can be
248,lady gaga,2,0,9,lady gaga YSPEAK IN YOUR OWN WAY . BE MY FRIEND PLEASE !
249,britney spears,1,32,46,new : lego heartbreak t-shirt + britney spears gives fans ' 3 ' + balloon boy and more !
250,britney spears,1,55,69,musicmonday -LRB- i ca n't get no -RRB- satisfaction - britney spears ... ha '' are you lesbian ? '' '' huh ? '' ahahahahhaha
251,harry potter,0,11,23,ashleeee99 harry potter sucks . So do these sam adams . I like the pbr better
252,taylor swift,2,0,12,taylor swift made me fall in love with country music < 3
253,kindle,1,67,73,on the nook they can share a book for 14 days . not sure about the kindle .
254,perez hilton,1,8,20,Teeehee perez hilton told joe to drop it like its hot ; -RRB-
255,steve jobs,0,49,59,my pod touch is too loud as an alarm ... damn it steve jobs ! ...
256,lady gaga,2,14,23,"Bunch song of lady gaga , Like it so Much ! : *"
257,ipad,1,105,109,"G.A. Henty novels are great for children 's read alouds -LRB- ages 10 + -RRB- . I 'm holding out for the ipad , however -LRB- do n't favor Kindle -RRB- ."
258,wii,1,83,86,fun at target : well i finally dragged myself out to target today to get in on the wii deal . i ended up wi . .
259,lindsay lohan,0,3,16,"'' lindsay lohan looking haggard in paris - awful plastic surgery ... : awful plastic surgery , trout pout , ugly b . ."
260,britney spears,2,12,26,"i think the britney spears ' song ' 3 ' is awesome ! i could listen to it over and over again . well , back to work ! enjoy the afternoon !"
261,britney spears,1,75,89,what happened to k-fed ? he gains soooo much weight after his divorce with britney spears !
262,lindsay lohan,1,80,93,"lmao epic fail , zee . epic fail . xd hahahaha , i love people like that . like lindsay lohan or britney spears . xd"
263,xbox,0,116,120,i fucking hate motherfucking electronics !!! now i 'm all fucking hot and sweaty and dusty trying to fix my fucking xbox and nothing worked !!
