index,term,polarity,termFrom,termTo,context
61,internet,1,27,35,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.)."
62,managing personal files,1,41,64,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.)."
63,motherboard,0,32,43,"A month or so ago, the freaking motherboard just died."
64,system,0,4,10,"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all."
65,hardware,0,92,100,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.
66,force quit,2,62,72,"If a website ever freezes (which is rare), its really easy to force quit."
67,works,0,10,15,It rarely works and when it does it's incredibly slow.
68,Windows 7,2,66,75,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.
69,operating system,2,44,60,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!"
70,runs,2,84,88,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!"
71,navigate,2,23,31,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!"
72,warrenty,0,64,72,Purchased a Toshiba Lap top it worked good until just after the warrenty went out.
73,extended warranty,1,25,42,"I wanted to purchase the extended warranty and they refused, because they knew it was trouble."
74,memory,1,16,22,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.
75,speed,2,98,103,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.
76,performace,2,75,85,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.
77,opening my Documents folder,0,92,119,"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder."
78,operating systems,0,93,110,I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.
79,charger,0,27,34,"Then, within 5 months, the charger crapped out on me."
80,speed,2,88,93,And if you have a iphone or ipod touch you can connect and download songs to it at high speed.
81,glass touchpad,2,11,25,I love the glass touchpad.
82,mother board,0,81,93,  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.
83,external speaker,2,15,31,I am using the external speaker- sound is good.
84,sound,2,33,38,I am using the external speaker- sound is good.
85,battery life,0,18,30,"still testing the battery life as i thought it would be better, but am very happy with the upgrade."
86,hardware,0,37,45,"Then HP sends it back to me with the hardware screwed up, not able to connect."
87,Microsoft software,0,72,90,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software."
88,use,2,25,28,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software."
89,delete  key,0,80,91,"And if you do a lot of writing, editing is a problem since there is no  forward delete  key."
90,editing,0,32,39,"And if you do a lot of writing, editing is a problem since there is no  forward delete  key."
91,use,2,12,15,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.
92,service,2,28,35,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.
93,phone assistance,2,60,76,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.
94,genius bar,2,99,109,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.
95,battery life,2,17,29,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours."
96,gaming,1,142,148,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours."
97,web browsing,1,48,60,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours."
98,recovery discs,2,29,43,"Acer has set me up with FREE recovery discs, when they are available since I asked."
99,"Office Max's ""Max Assurance""",1,17,45,"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause."
100,iMac backup disc,1,39,55,I eventually did the migration from my iMac backup disc which uses USB.
101,USB,1,67,70,I eventually did the migration from my iMac backup disc which uses USB.
102,battery life,2,4,16,"The battery life seems to be very good, and have had no issues with it."
103,battery timer,0,13,26,Enabling the battery timer is useless.
104,Temperatures,1,0,12,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.
105,Core Processing Unit temperatures,1,64,97,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.
106,service,1,21,28,Going to bring it to service today.
107,virus protection for Mac,2,29,53,"There is no need to purchase virus protection for Mac, which saves me a lot of time and money."
108,bluetooth,0,20,29,"But we had paid for bluetooth, and there was none."
109,LG notebook service center,1,22,48,"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter."
110,games,1,24,29,"My daughter uses it for games, email, facebook, pictures and music."
111,responds,2,40,48,"It is always reliable, never bugged and responds well."
112,motherboard,0,63,74,After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.
113,motherboard,1,114,125,After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.
114,hardware,0,37,45,"It was slow, locked up, and also had hardware replaced after only 2 months!"
115,motherboard,0,24,35,they had to replace the motherboard in April
116,representive at Microsoft,0,31,56,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could."
117,system,0,170,176,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could."
118,XP,2,217,219,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could."
119,WIndows 7,2,7,16,I love WIndows 7 which is a vast improvment over Vista.
120,Vista,0,49,54,I love WIndows 7 which is a vast improvment over Vista.
121,Keyboard,2,0,8,"Keyboard is great, very quiet for all the typing that I do."
122,Dell's customer disservice,0,0,26,Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.
123,cooling system,0,9,23,"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error."
124,use,1,64,67,"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error."
125,quad core I7,2,97,109,"I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7."
126,sales associate,2,50,65,"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook."
127,system,2,29,35,"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;"
128,Windows applications,1,58,78,"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;"
129,virus program,0,58,71,You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.
130,weighed,1,3,10,It weighed like seven pounds or something like that.
131,seven pounds,1,16,28,It weighed like seven pounds or something like that.
132,battery,0,20,27,"2 months later, the battery went."
133,bag,1,32,35,You may need to special order a bag.
134,color,2,5,10,It's color is even cool.
135,keys,0,0,4,keys are all in weird places and is way too large for the way it is designed.
136,designed,0,68,76,keys are all in weird places and is way too large for the way it is designed.
137,style,2,95,100,"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor."
138,speed,2,102,107,"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor."
139,keyboard,2,4,12,The keyboard feels good and I type just fine on it.
140,mousepad,1,76,84,I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.
141,battery,0,62,69,"And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying."
142,sales,2,26,31,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple"
143,DELL SUPPORT,2,128,140,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple"
144,hard drive,1,133,143,"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard."
145,motherboard,1,152,163,"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard."
146,speed,2,58,63,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity."
147,construction quality,2,65,85,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity."
148,longevity,2,91,100,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity."
149,keyboard,2,71,79,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc."
150,keys,2,84,88,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc."
151,"configuration of ""extra key""",2,118,146,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc."
152,touch pad,1,19,28,) I also tried the touch pad and compared it to other netbooks in the store.
153,use,2,70,73,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag."
154,security,2,75,83,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag."
155,use,0,36,39,"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work."
156,work,0,92,96,"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work."
157,preloaded software,2,8,26,lots of preloaded software.
158,webcam,0,16,22,"I wish it had a webcam though, then it would be perfect!"
159,vga port,2,51,59,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.
160,screen,1,92,98,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.
161,battery life,2,33,45,Another thing I might add is the battery life is excellent.
162,keys,0,25,29,"One drawback, I wish the keys were backlit."
163,software,2,200,208,"Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem."
164,volume,0,11,17,I wish the volume could be louder and the mouse didnt break after only a month.
165,mouse,0,42,47,I wish the volume could be louder and the mouse didnt break after only a month.
166,touchpad,2,45,53,"I play a lot of casual games online, and the touchpad is very responsive."
167,hard drive,0,47,57,It caught a virus that completely wiped out my hard drive in a matter of hours.
168,safari,0,61,67,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.
169,safari,0,83,89,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.
170,Mozzilla firfox,2,110,125,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.
171,Bluetooth,0,4,13,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done."
172,fingerprint reader driver,0,44,69,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done."
173,software,0,94,102,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done."
174,battery,2,6,13,"Great battery, speed, display."
175,speed,2,15,20,"Great battery, speed, display."
176,display,2,22,29,"Great battery, speed, display."
177,delivery,2,4,12,"The delivery was fast, and I would not hesitate to purchase this laptop again."
178,battery life,2,29,41,I've been impressed with the battery life and the performance for such a small amount of memory.
179,performance,2,50,61,I've been impressed with the battery life and the performance for such a small amount of memory.
180,memory,0,89,95,I've been impressed with the battery life and the performance for such a small amount of memory.
181,applications,2,5,17,"It's applications are terrific, including the replacements for Microsoft office."
182,Microsoft office,2,63,79,"It's applications are terrific, including the replacements for Microsoft office."
183,Resolution,0,35,45,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc."
184,appearance,0,47,57,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc."
185,cooling system,0,59,73,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc."
186,graphics card,0,75,88,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc."
187,built-in webcam,0,21,36,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out."
188,built-in mic,0,41,53,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out."
189,cam,0,269,272,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out."
190,mic,0,277,280,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out."
191,Windows Vista,1,53,66,Is this partially due to the fact that it is running Windows Vista?
192,board,0,6,11,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.
193,connector,0,22,31,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.
194,warrenty,0,72,80,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.
195,power supply,0,93,105,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.
196,ethernet,2,115,123,"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!"
197,works,2,85,90,"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!"
198,drag and drop feature,2,18,39,Mostly I love the drag and drop feature.
199,webcam,0,26,32,"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?"
200,sales tax,2,46,55,"I ordered through MacMall, which saved me the sales tax I would have incurred buying locally."
201,software packages,2,37,54,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie."
202,iWork,2,84,89,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie."
203,GarageBand,2,91,101,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie."
204,iMovie,2,107,113,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie."
205,screen,2,4,10,The screen is very large and crystal clear with amazing colors and resolution.
206,colors,2,56,62,The screen is very large and crystal clear with amazing colors and resolution.
207,resolution,2,67,77,The screen is very large and crystal clear with amazing colors and resolution.
208,monitor,0,62,69,"After a little more than a year of owning my MacBook Pro, the monitor has completely died."
209,iTunes,2,13,19,"The brand of iTunes has just become ingrained in our lexicon now, but keep in mind that Apple started it all."
210,Size,0,0,4,"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares."
211,external monitor,1,76,92,"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares."
212,base installation,0,23,40,Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.
213,software,0,74,82,Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.
214,manuf,0,82,87,  Taking it back to Best Buy I found that a tiny plastic piece inside had broken (manuf issue).
215,AMD Turin processor,2,4,23,The AMD Turin processor seems to always perform so much better than Intel.
216,Intel,0,68,73,The AMD Turin processor seems to always perform so much better than Intel.
217,warranty,1,35,43,  After that the said it was under warranty.
218,start menu,0,4,14,The start menu is not the easiest thing to navigate due to the stacking.
219,navigate,0,43,51,The start menu is not the easiest thing to navigate due to the stacking.
220,bluray read/write drive,0,54,77,Only thing I would want to add to this is an internal bluray read/write drive.
221,service tech,0,4,16,The service tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.
222,tech store,0,4,14,"The tech store I purchased this from sent it back,,,,,eventually I got a new or repaired machine approximately 3 weeks later."
223,surface,2,25,32,Really like the textured surface which shows no fingerprints.
224,screen,2,4,10,The screen is bright and the keyboard is nice;
225,keyboard,2,29,37,The screen is bright and the keyboard is nice;
226,iLife,2,31,36,But the machine is awesome and iLife is great and I love Snow Leopard X.
227,Snow Leopard X,2,57,71,But the machine is awesome and iLife is great and I love Snow Leopard X.
228,price tag,0,5,14,"High price tag, however."
229,Mac OS,2,23,29,"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC."
230,sound output quality,0,52,72,"I had static in the output, and I had to reduce the sound output quality to ""FM"" as opposed to the default ""CD."
231,techie,0,66,72,I custom ordered the machine from HP and could NOT understand the techie due to his accent.
232,use,2,14,17,It is easy to use and lightweight.
233,Toshiba online help,2,10,29,I went to Toshiba online help and found some suggestions to fix it.
234,service life,2,24,36,They also have a longer service life than other computers (I have several friends who still use the older Apple PowerBooks).
235,ports,1,68,73,If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.
236,processor,1,103,112,If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.
237,look,2,45,49,This laptop is a great price and has a sleek look.
238,keyboard,2,22,30,I especially like the keyboard which has chiclet type keys.
239,keys,2,54,58,I especially like the keyboard which has chiclet type keys.
240,quality,0,39,46,Runs Hot  I thought we were paying for quality in our decision to buy an Apple product.
241,gray color,2,4,14,The gray color was a good choice.
242,processor,0,4,13,The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.
243,computing,0,94,103,The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.
244,protector,1,11,20,I bought a protector for my key pad and it works great :)
245,magnetic plug-in power charging power cord,2,4,46,The magnetic plug-in power charging power cord is great (I even put it to the test by accident)- excellent innovation!
246,XP,2,33,35,It seems they could have updated XP and done without creating Vista.
247,Vista,0,62,67,It seems they could have updated XP and done without creating Vista.
248,use,2,16,19,"  It is easy to use, fast and has great graphics for the money."
249,Mac OS,2,15,21,I like how the Mac OS is so simple and easy to use.
250,use,2,47,50,I like how the Mac OS is so simple and easy to use.
251,support,2,97,104,"While Apple's saving grace is the fact that they at least stand behind their products, and their support is great, it would be nice if their products were more reliable to justify the premium."
252,graphics quality,2,23,39,only good thing is the graphics quality.
253,Appleworks,0,101,111,"The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless."
254,browser,0,133,140,"The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless."
255,paint,0,4,9,The paint wears off easily due to the keyboard being farther back than usual.
256,service department,1,71,89,I had purchased it from a major electronics store and took it to their service department to find out what the problem was.
257,warrenty,2,24,32,The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.
258,warrentys,0,133,142,The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.
259,hard disk,1,22,31,I always use a backup hard disk to store important files at all times.
260,CD drive,0,169,177,"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!"
261,running,0,143,150,"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!"
262,screen size,2,8,19,But the screen size is not that bad for email and web browsing.
263,web browsing,1,50,62,But the screen size is not that bad for email and web browsing.
264,software,0,23,31,Once I removed all the software the laptop loads in 15-20 seconds.
265,loads,1,43,48,Once I removed all the software the laptop loads in 15-20 seconds.
266,external mouse,1,65,79,On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.
267,trackpad,0,106,114,On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.
268,games,0,48,53,This computer doesn't do that well with certain games it can't play some and it becomes too hot while playing games.
269,features,1,36,44,"Obviously one of the most important features of any computer is the ""human interface."
270,human interface,1,69,84,"Obviously one of the most important features of any computer is the ""human interface."
271,inbuilt applications,0,98,118,"Yeah, of course smarty pants ""fix it now"")Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple (which I promptly did)."
272,Software,0,42,50,"Yeah, of course smarty pants ""fix it now"")Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple (which I promptly did)."
273,body,0,4,8,The body is a bit cheaply made so it will be interesting to see how long it holds up.
274,i5,0,4,6,The i5 blows my desktop out of the water when it comes to rendering videos.
275,antivirus software,1,41,59,"With a mac you don't have to worry about antivirus software or firewall, it's so wonderful."
276,Apple team,2,4,14,The Apple team also assists you very nicely when choosing which computer is right for you :)
277,Vista,0,50,55,"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system)."
278,Vista,0,68,73,"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system)."
279,operating system,1,211,227,"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system)."
280,Vista,0,152,157,"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system)."
281,video chat,0,4,14,The video chat is the only thing that is iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better.
282,mouse,2,153,158,That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.
283,Fan,2,0,3,"Fan vents to the side, so no cooling pad needed, great feature!"
284,cooling pad,1,29,40,"Fan vents to the side, so no cooling pad needed, great feature!"
285,feature,2,55,62,"Fan vents to the side, so no cooling pad needed, great feature!"
286,software,2,38,46,"i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses."
287,power,2,40,45,"It has far exceeded my expectations for power, storage, and abilitiy."
288,storage,2,47,54,"It has far exceeded my expectations for power, storage, and abilitiy."
289,abilitiy,2,60,68,"It has far exceeded my expectations for power, storage, and abilitiy."
290,spotlight search,2,23,39,"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document."
